"Name","has.star","Title.type","Genre","Run.time","Top.cast","MOVIEmeter","IMDb.Rating","Production.Co.","Year","numvotes","Country","Language","Rating","Genres"
"Kajillionaire",0,"Movie","Comedy, Crime, Drama",104,"Richard Jenkins, Debra Winger, Evan Rachel Wood",3961,6.5,"Annapurna Pictures",2020,409189,"US","English",1,"Light"
"King Kong",0,"Movie","Action, Adventure, Drama",187,"Naomi Watts, Jack Black, Adrien Brody",256,7.2,"Universal Pictures",2005,148794,"US","English",2,"Action"
"King of New York",1,"Movie","Crime, Thriller",103,"Christopher Walken, David Caruso, Laurence Fishburne",6600,7,"Reteitalia",1990,160456,"US","English",2,"Horror/Thriller"
"Kiss Me Deadly",0,"Movie","Crime, Film-Noir, Mystery",106,"Ralph Meeker, Albert Dekker, Paul Stewart",13512,7.6,"Parklane Pictures Inc.",1955,380170,"US","English",3,"Horror/Thriller"
"Klute",1,"Movie","Crime, Mystery, Thriller",114,"Jane Fonda, Donald Sutherland, Charles Cioffi",5041,7.2,"Warner Bros.",1971,235506,"US","English",1,"Horror/Thriller"
"Kung Fu Panda",1,"Movie","Animation, Action, Adventure",92,"Jack Black, Dustin Hoffman, Angelina Jolie",2383,7.6,"DreamWorks Animation",2008,472777,"US","English",3,"Action"
"L'Avventura",0,"Movie","Drama, Mystery, Romance",144,"Gabriele Ferzetti, Monica Vitti, Lea Massari",12361,7.9,"Cino del Duca",1960,1211489,"IT","Italian",4,"Romance"
"L'Eclisse",0,"Movie","Drama, Romance",126,"Alain Delon, Monica Vitti, Francisco Rabal",14008,7.9,"Cineriz",1962,1323969,"IT","Italian",2,"Romance"
"La Dolce Vita",1,"Movie","Comedy, Drama",174,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée",5232,8,"Riama Film",1960,68585,"IT","Italian",4,"Drama"
"La Notte",1,"Movie","Drama",122,"Marcello Mastroianni, Jeanne Moreau, Monica Vitti",11899,8.1,"Nepi Film",1961,740435,"IT","Italian",1,"Drama"
"La Strada",1,"Movie","Drama",108,"Anthony Quinn, Giulietta Masina, Richard Basehart",11672,8,"Ponti-De Laurentiis Cinematografica",1954,847985,"IT","Italian",1,"Drama"
"Léon: The Professional",1,"Movie","Action, Crime, Drama",110,"Jean Reno, Gary Oldman, Natalie Portman",578,8.5,"Gaumont",1994,65431,"US","English",1,"Action"
"Lady Snowblood",0,"Movie","Action, Drama, Thriller",97,"Meiko Kaji, Toshio Kurosawa, Masaaki Daimon",12261,7.7,"Toho Film (Eiga) Co. Ltd.",1973,23895,"JA","Japanese",3,"Action"
"Lady Vengeance",0,"Movie","Crime, Drama, Thriller",115,"Nam-mi Kang, Jeong-nam Choi, Hye-Sook Go",6911,7.6,"CJ Entertainment",2005,11716,"JA","Japanese",3,"Horror/Thriller"
"Laura",1,"Movie","Drama, Film-Noir, Mystery",88,"Gene Tierney, Dana Andrews, Clifton Webb",10354,8,"Twentieth Century Fox",1944,93762,"US","English",1,"Horror/Thriller"
"Le Samouraï",0,"Movie","Crime, Drama, Mystery",105,"Alain Delon, François Périer, Nathalie Delon",9731,8.1,"Compagnie Industrielle et Commerciale Cinématographique (CICC)",1967,298179,"FR","French",3,"Drama"
"Les Misérables",0,"Movie","Crime, Drama, Thriller",104,"Damien Bonnard, Djebril Zonga, Issa Perica",7577,7.6,"Srab Films",2019,18719,"FR","French",3,"Drama"
"Light Sleeper",1,"Movie","Crime, Drama",103,"Willem Dafoe, Susan Sarandon, Dana Delany",17190,6.9,"Carolco Pictures",1992,720192,"US","English",1,"Horror/Thriller"
"Lolita",1,"Movie","Crime, Drama, Romance",153,"James Mason, Shelley Winters, Sue Lyon",2652,7.6,"A.A. Productions Ltd.",1962,869657,"US","English",1,"Romance"
"Lost Highway",1,"Movie","Mystery, Thriller",134,"Bill Pullman, Patricia Arquette, John Roselius",3392,7.6,"CiBy 2000",1997,239782,"US","English",2,"Horror/Thriller"
"Lost in Translation",1,"Movie","Comedy, Drama",102,"Scarlett Johansson, Bill Murray, Akiko Takeshita",1110,7.7,"Focus Features",2003,131046,"US","English",4,"Romance"
"Love",0,"Movie","Drama, Romance",135,"Aomi Muyock, Karl Glusman, Klara Kristin",334,6.1,"Les Cinémas de la Zone",2015,28620,"FR","French",1,"Romance"
"Magnum Force",1,"Movie","Action, Crime, Mystery",124,"Clint Eastwood, Hal Holbrook, Mitchell Ryan",6384,7.2,"The Malpaso Company",1973,43169,"US","English",4,"Action"
"Make Up",0,"Movie","Drama",86,"Molly Windsor, Joseph Quinn, Stefanie Martini",15818,6,"BBC Films",2019,150036,"UK","English",1,"Drama"
"Manhattan",1,"Movie","Comedy, Drama, Romance",96,"Diane Keaton, Michael Murphy, Mariel Hemingway",5298,7.9,"Jack Rollins & Charles H. Joffe Productions",1979,45079,"US","English",3,"Romance"
"Mank",1,"Movie","Biography, Comedy, Drama",131,"Gary Oldman, Amanda Seyfried, Lily Collins",183,7,"Netflix",2020,99068,"US","English",1,"Drama"
"Matchstick Men",1,"Movie","Comedy, Crime, Drama",116,"Nicolas Cage, Sam Rockwell, Alison Lohman",7613,7.3,"Warner Bros.",2003,58892,"US","English",2,"Drama"
"Mean Streets",1,"Movie","Crime, Drama, Thriller",112,"Robert De Niro, Harvey Keitel, David Proval",5153,7.2,"Warner Bros.",1973,67459,"US","English",4,"Drama"
"Memento",0,"Movie","Mystery, Thriller",113,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano",923,8.4,"Newmarket Capital Group",2000,27606,"US","English",3,"Horror/Thriller"
"Memories of Murder",0,"Movie","Crime, Drama, Mystery",131,"Kang-ho Song, Kim Sang-kyung, Roe-ha Kim",1616,8.1,"CJ Entertainment",2003,200279,"SK","Korean",3,"Drama"
"Meshes of the Afternoon",0,"Short","Short, Fantasy, Mystery",14,NA,25636,7.9,NA,1943,27338,"US","English",1,"Drama"
"Midnight Coffee",0,"Short","Short, Comedy",12,"Sean Edward Evans, Vianny Guevara, Charles Mai",296286,NA,NA,2020,253495,"US","English",1,"Light"
"Midnight in Paris",0,"Movie","Comedy, Fantasy, Romance",94,"Owen Wilson, Rachel McAdams, Kurt Fuller",1622,7.7,"Mediapro",2011,82815,"US","English",3,"Romance"
"Miller's Crossing",1,"Movie","Crime, Drama, Thriller",115,"Gabriel Byrne, Marcia Gay Harden, John Turturro",4428,7.7,"Circle Films",1990,33293,"US","English",2,"Drama"
"Monkey Business",1,"Movie","Comedy, Sci-Fi",97,"Cary Grant, Ginger Rogers, Charles Coburn",19014,7,"Twentieth Century Fox",1952,196561,"US","English",2,"Light"
"Moon",1,"Movie","Drama, Mystery, Sci-Fi",97,"Sam Rockwell, Kevin Spacey, Dominique McElligott",2400,7.9,"Sony Pictures Classics",2009,447783,"US","English",3,"Drama"
"Morvern Callar",0,"Movie","Drama",97,"Samantha Morton, Kathleen McDermott, Paul Popplewell",19135,6.8,"Alliance Atlantis Motion Picture Production",2002,11675,"US","English",2,"Drama"
"Mosquito",0,"Movie","Drama, War",125,"João Nunes Monteiro, João Lagarto, Filipe Duarte",53364,7,"APM - Ana Pinhão Moura Produções",2020,79350,"PO","English",3,"Action"
"Mother",0,"Movie","Crime, Drama, Mystery",129,"Hye-ja Kim, Won Bin, Jin Goo",5213,7.8,"CJ Entertainment",2009,124248,"SK","Korean",4,"Drama"
"My Name Is Joe",0,"Movie","Drama, Romance",105,"Peter Mullan, Louise Goodall, Gary Lewis",31263,7.5,"ARD Degeto Film",1998,93082,"UK","English",4,"Romance"
"My Night at Maud's",0,"Movie","Comedy, Drama, Romance",110,"Jean-Louis Trintignant, Françoise Fabian, Marie-Christine Barrault",15124,7.9,"Compagnie Française de Distribution Cinématographique (CFDC)",1969,69943,"FR","French",2,"Romance"
"Naked",0,"Movie","Comedy, Drama",132,"David Thewlis, Lesley Sharp, Katrin Cartlidge",4036,7.8,"Thin Man Films",1993,604952,"UK","English",2,"Horror/Thriller"
